"In bond valuation, what is the fundamental inverse relationship between price and yield?","When the market yield rises, the bond's price falls, and vice versa."
A bond trades at a _____ to par value when its coupon rate is lower than the market yield.,discount
What does Yield to Maturity (YTM) represent for a bond investor?,"The total return anticipated if the bond is held until it matures, assuming coupons are reinvested at the YTM rate."
What is the primary function of Duration in bond risk analysis?,It provides a linear approximation of a bond's price sensitivity to changes in interest rates.
"Why is Convexity important for analyzing bond price changes, especially for large shifts in yield?","It captures the non-linear, curved relationship between a bond's price and yield, improving accuracy beyond duration's linear estimate."
What is the complete workflow described in the guide for bridging fundamental credit analysis to market pricing?,Z-Score → Default Probability → Credit Spread → Bond Yield → Bond Price.
"In credit analysis, a _____ compensates investors for bearing the risk of default.",credit spread
How does credit deterioration in a company affect its bond prices and credit spreads?,Credit deterioration leads to wider credit spreads and consequently lower bond prices.
Why do callable bonds typically trade at lower prices than comparable non-callable bonds?,"Because the issuer holds a valuable refinancing option, which represents a risk to the investor."
What specific risk does Option-Adjusted Spread (OAS) isolate in the valuation of bonds with embedded options?,OAS isolates the credit risk by removing the impact of the embedded option's value.
Callable bonds exhibit what type of convexity when interest rates fall?,"Negative convexity, because their price appreciation is capped by the call price."
The formula for portfolio Expected Loss is Probability of Default (PD) multiplied by Loss Given Default (LGD) multiplied by _____.,Exposure
Why do higher seniority bonds typically have lower loss rates in the event of a default?,They have better recovery rates because they are paid back before more junior debt holders.
How does higher interest rate volatility affect the value of a callable bond from the investor's perspective?,"Higher volatility increases the value of the issuer's call option, making the callable bond less valuable to the investor."
"In financial reporting, what component combines the income statement, balance sheet, and operational metrics into a single-period 'one-pager'?",The FinancialPeriodSummary.
The MultiPeriodReport is designed to aggregate multiple period summaries primarily for what type of analysis?,Trend analysis and the calculation of growth rates over time.
A Credit Default Swap (CDS) is best described as a form of _____ against default.,insurance
"In a CDS valuation, the premium leg is considered a 'risky annuity' because payments only occur if what condition is met?",The reference entity survives without a default event.
What is the key insight of the Merton structural model regarding a company's equity?,"It treats the company's equity as a call option on the firm's assets, with the firm's debt acting as the strike price."
"In the Merton model, when is a default event considered to occur?",Default occurs when the value of the firm's assets falls below the value of its debt at maturity.
What does the 'Distance to Default' (DD) metric measure?,It measures how many standard deviations the firm's asset value is away from the default point (its debt level).
"In a reduced-form model with a constant hazard rate ($\lambda$), what formula describes the survival probability S(t) over time t?",The survival probability follows exponential decay: $S(t) = e^{-\lambda t}$.
What is the simple approximation formula that links a credit spread (S) to the hazard rate ($\lambda$) and recovery rate (R)?,$\lambda \approx S / (1 - R)$.
What is the purpose of 'bootstrapping' a credit curve from market CDS quotes?,To build a complete term structure of hazard rates that perfectly reproduces all observed market CDS spreads.
How do structural models (like Merton) and reduced-form models (hazard rates) complement each other in credit analysis?,"Structural models provide economic intuition based on fundamentals, while reduced-form models are better for fitting market prices and hedging."
"In a one-variable data table for sensitivity analysis, what is the primary goal?",To show how a single output variable changes as a single input variable is systematically varied.
The Capital Asset Pricing Model (CAPM) calculates the cost of equity (Re) using what formula?,"$Re = R_f + \beta \times (R_m - R_f)$, where Rf is the risk-free rate, $\beta$ is beta, and Rm is the market return."
What is the formula for calculating a company's Weighted Average Cost of Capital (WACC)?,$WACC = (E/(E+D)) \times R_e + (D/(E+D)) \times R_d \times (1-T)$.
What is the purpose of unlevering and relevering beta in capital structure analysis?,"To adjust a company's observed equity beta for its financial leverage, allowing for comparison with peers or analysis of different capital structures."
"In equity financing, what is the primary purpose of an 'option pool'?","It is a block of shares reserved for issuance to employees, directors, and consultants as equity compensation."
"Under modern lease accounting standards (IFRS 16 / ASC 842), how is a lease liability initially measured on the balance sheet?","It is measured as the present value of all future lease payments, discounted at an appropriate rate."
What constitutes the initial value of the Right-of-Use (ROU) Asset on the balance sheet?,The initial lease liability plus any initial direct costs and prepayments made by the lessee.
"What is the primary characteristic of a 'bullet payment' amortization schedule, common for bonds?","The borrower pays only interest throughout the term, with the entire principal amount (the 'bullet') repaid at maturity."
The Gordon Growth Model is most suitable for valuing what type of companies?,"Mature, stable companies with a history of paying dividends that are expected to grow at a constant rate."
