PsiAbsDev	statistic	cell, simulation, struc_format, param_slice	confirmed
PsiAPARCH11	distribution	mean, volatility, delta, gamma, err_coef, ar_coef, val0, stdev0	confirmed
PsiAR1	distribution	mean, volatility, coef1, val0	confirmed
PsiAR2	distribution	mean, volatility, coef1, coef2, val0, val1	confirmed
PsiARCH1	distribution	mean, volatility, err_coef, val0	confirmed
PsiARMA11	distribution	mean, volatility, ar_coef, ma_coef, val0, err0	confirmed
PsiBaseCase	property	value	confirmed
PsiBernoulli	distribution	p	confirmed
PsiBeta	distribution	alpha1, alpha2	confirmed
PsiBetaGen	distribution	alpha1, alpha2, a, b	confirmed
PsiBetaGenAlt	distribution	4 name/value or percentile/value pairs, chosen from: percentile1, percentile2, percentile3, percentile4, shape1, shape2, min, max	confirmed
PsiBetaSubj	distribution	a (min), c (likely), mean, b (max)	confirmed
PsiBinomial	distribution	n, p	confirmed
PsiBoxFunction	other	table_range, Arg1, Arg2	confirmed
PsiBoxIterator	other	table_range	confirmed
PsiBurr12	distribution	loc, scale, shape1, shape2	confirmed
PsiBVar	statistic	cell, percentile, simulation, struc_format, param_slice	confirmed
PsiCalcParam	other	values_or_lower, upper, base_case	confirmed
PsiCalcValue	other	Output_cell, paramidx	confirmed
PsiCategory	property	string	confirmed
PsiCauchy	distribution	loc, lambda	confirmed
PsiCauchyAlt	distribution	2 percentile/value pairs: percentile1, value1, percentile2, value2	confirmed
PsiCensor	property	min, max, type	confirmed
PsiCertified	distribution	name, sipname	confirmed
PsiCertify	property	name, default_value, short_description, full_description, version, author, copyright, trademark, history	confirmed
PsiChiSquare	distribution	df	confirmed
PsiChiSquareAlt	distribution	1 parameter, chosen from: percentile or var	confirmed
PsiCITrials	statistic	cell, confidence_level, tolerance, simulation, struc_format, param_slice	confirmed
PsiClassifyCT	other	UNCONFIRMED	confirmed
PsiClassifyCTEnsemble	other	UNCONFIRMED	confirmed
PsiClassifyDA	other	UNCONFIRMED	confirmed
PsiClassifyLR	other	UNCONFIRMED	confirmed
PsiClassifyNB	other	UNCONFIRMED	confirmed
PsiClassifyNN	other	UNCONFIRMED	confirmed
PsiClassifyNNEnsemble	other	UNCONFIRMED	confirmed
PsiCoeffVar	statistic	cell, simulation, struc_format, param_slice	confirmed
PsiCollect	property	UNCONFIRMED	inferred
PsiCompound	property	number_cell, deduction, limit	confirmed
PsiCon	annotation	LHS, relation, RHS, active, chance_type, chance_measure, comment, model_name, critical	confirmed
PsiConverged	statistic	output_cell, [simulation]	confirmed
PsiConvergence	property	tol, type, level, mean, stdev, perc, val	confirmed
PsiCopula	property	type, param, reflection, instance	confirmed
PsiCopulaGauss	property	number_range, position, instance	confirmed
PsiCopulaStudent	property	number_range, position, df, instance	confirmed
PsiCorrDepen	property	corrname, coefficient	confirmed
PsiCorrelation	statistic	cell1, cell2, simulation	confirmed
PsiCorrIndep	property	corrname	confirmed
PsiCorrMatrix	property	matrix_cell_range, position, instance	confirmed
PsiCount	statistic	cell, type, simulation	confirmed
PsiCube	other	range_with_values, dim1, dim2, dim3	confirmed
PsiCubeData	other	output_cell, struc_format	confirmed
PsiCubeOutput	other	output_cell	confirmed
PsiCumul	distribution	a, b, {x1..xn}, {p1..pn}	confirmed
PsiCumulD	distribution	min, max, {x1..xn}, {p1..pn}	confirmed
PsiCurrentOpt	other	(none)	inferred
PsiCVaR	statistic	cell, percentile, simulation, struc_format, param_slice	confirmed
PsiDagum	distribution	loc, scale, shape1, shape2	confirmed
PsiData	statistic	cell, trial, simulation, struc_format, param_slice	confirmed
PsiDataSrc	other	src_name, val_col_names, data, idx1_name, idx1_elem, idx2_name, idx2_elem	confirmed
PsiDblTriang	distribution	min, likely, max, p	confirmed
PsiDecTable	other	table_range, output, ret_header, input_val1, input_val2	confirmed
PsiDim	other	name, range_or_array	confirmed
PsiDimActive	property	opt, sim, sen	confirmed
PsiDimLock	property	elem_or_index	confirmed
PsiDiscrete	distribution	{x1..xn}, {p1..pn}	confirmed
PsiDistInfo	statistic	cell, [info]	confirmed
PsiDisUniform	distribution	{x1..xn}	confirmed
PsiDualLower	other	cell, optimization	confirmed
PsiDualUpper	other	cell, optimization	confirmed
PsiDualValue	other	cell, optimization, upper	confirmed
