function	group	owner	signature	note
PsiAPARCH11	time series	BusinessMath	mean, volatility, delta, gamma, err_coef, ar_coef, val0, stdev0	LANDED 2.14.x — AsymmetricPowerArch. Maps 4-for-4: delta, gamma, err_coef = alpha, ar_coef = beta
PsiAR2	time series	BusinessMath	mean, volatility, coef1, coef2, val0, val1	LANDED 2.14.x — AutoregressiveMovingAverage
PsiARCH1	time series	BusinessMath	mean, volatility, err_coef, val0	LANDED 2.14.x — GarchOneOne.arch(name:unconditionalVolatility:shockWeight:): ARCH(1) is GARCH(1,1) at beta = 0, so it is a factory rather than a second copy of the recursion
PsiARMA11	time series	BusinessMath	mean, volatility, ar_coef, ma_coef, val0, err0	LANDED 2.14.x — AutoregressiveMovingAverage
PsiBetaGen	distribution	BusinessMath	alpha1, alpha2, a, b	LANDED 2.14.x — DistributionBetaGeneralised
PsiBetaGenAlt	percentile parameterisation	BusinessMath	4 name/value or percentile/value pairs, chosen from: percentile1, percentile2, percentile3, percentile4, shape1, shape2, min, max	LANDED 2.14.x — DistributionBetaGeneralised: PercentileParameterisable
PsiBetaSubj	distribution	BusinessMath	a (min), c (likely), mean, b (max)	LANDED 2.14.x — DistributionBetaSubjective
PsiCauchyAlt	percentile parameterisation	BusinessMath	2 percentile/value pairs: percentile1, value1, percentile2, value2	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiCertified	not mathematics	BusinessMathExcel / SwiftExcelFunctions	name, sipname	EXCLUDED — declares provenance of a stored SIP; a metadata assertion, not mathematics
PsiChiSquareAlt	percentile parameterisation	BusinessMath	1 parameter, chosen from: percentile or var	LANDED 2.14.x — DistributionChiSquared.init?(degreesOfFreedom: Double), plus PercentileParameterisable. Fractional df is ordinary in practice (Satterthwaite, Welch). Integer df keeps the sum-of-squared-normals sampler; fractional goes through Gamma(nu/2, 2)
PsiCumulD	distribution	BusinessMath	min, max, {x1..xn}, {p1..pn}	LANDED 2.14.x — DistributionCumulativeDiscrete
PsiEGARCH11	time series	BusinessMath	mean, volatility, theta, gamma, err_coef, ar_coef, val0, stdev0	LANDED 2.14.x — ExponentialGarch. Their four coefficients read as alpha * g(z) with g(z) = theta*z + gamma*(|z| - E|z|); that nesting is redundant (alpha,theta,gamma) ~ (1,alpha*theta,alpha*gamma) but is kept so a transcribed model keeps its numbers
PsiErf	distribution	BusinessMath	h	LANDED 2.14.x — DistributionErf
PsiErfAlt	percentile parameterisation	BusinessMath	1 parameter, chosen from: percentile or var	LANDED 2.14.x — DistributionErf: PercentileParameterisable
PsiExponentialAlt	percentile parameterisation	BusinessMath	1 parameter, chosen from: percentile or var	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiFatigueLifeAlt	percentile parameterisation	BusinessMath	3 name/value pairs, names chosen from: loc, scale, shape, or a percentile (0-1); e.g. PsiFatigueLifeAlt(5%, 1.5, 50%, 2.5, 95%, 4.5)	LANDED 2.14.x — DistributionFatigueLife: PercentileParameterisable
PsiFit	distribution	BusinessMath	data	LANDED 2.14.x — DistributionMomentFit.init(sample:) plus andersonDarlingStatistic. The Johnson system partitions the moment plane, so which of four families comes back is decided by the data, not by a shortlist
PsiFrechetAlt	percentile parameterisation	BusinessMath	3 name/value pairs, names chosen from: loc, scale, shape, or a percentile (0-1)	LANDED 2.14.x — DistributionFrechet: PercentileParameterisable
PsiGammaAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: percentile1, percentile2, mean, var, shape, scale	LANDED 2.14.x — DistributionGamma.init?(shape:rate:) and init?(shape:scale:), plus PercentileParameterisable. The type stored an Int shape while gammaCDF/gammaQuantile behind it were always continuous; only the wrapper was narrow. init(r:) stays as the Erlang case and keeps the exponential-sum sampler whose stream is pinned
PsiHistogram	distribution	BusinessMath	a, b, {w1..wn}	LANDED 2.14.x — DistributionHistogram
PsiHypSecantAlt	percentile parameterisation	BusinessMath	2 parameters: two different percentiles, or percentile and loc, or percentile and scale	LANDED 2.14.x — DistributionHypSecant: PercentileParameterisable
PsiInvNormalAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: two different percentiles, mean, var, scale	LANDED 2.14.x — DistributionInverseGaussian: PercentileParameterisable
PsiLaplaceAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: two different percentiles or the standard deviation	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiLevyAlt	percentile parameterisation	BusinessMath	2 parameters: two different percentiles, or percentile and loc, or percentile and scale	LANDED 2.14.x — DistributionLevy: PercentileParameterisable
PsiLogLogisticAlt	percentile parameterisation	BusinessMath	3 parameters, chosen from: 3 different percentiles, loc, scale, shape	LANDED 2.14.x — DistributionLogLogistic: PercentileParameterisable
PsiLogNormalAlt	percentile parameterisation	BusinessMath	2 parameters: 2 different percentiles, or percentile and mean, or percentile and stdev	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiLogisticAlt	percentile parameterisation	BusinessMath	2 parameters, chosen from: 2 different percentiles, mean, var, scale	LANDED 2.14.x — PercentileParameterisable.fitting(_:)
PsiMA1	time series	BusinessMath	mean, volatility, coef1, err0	LANDED 2.14.x — AutoregressiveMovingAverage
PsiMA2	time series	BusinessMath	mean, volatility, coef1, coef2, err0, err1	LANDED 2.14.x — AutoregressiveMovingAverage
PsiMVNormal	distribution	BusinessMath	mu, sigma	LANDED 2.14.x — DistributionMVNormal. Covariance in, correlation and Cholesky underneath, shared with DistributionMVLogNormal
